Category,Step,Description,Resources,Conditions,Opinon
All Servers,Servers Provisioned,,,all,
All Servers,Verify Hostname Resolution,"Verify that the Posit Workbench servers can all resolve the hostnames of your Connect and Package Manager servers using nslookup hostname each servers hostname from one of the future Workbench servers, verify the correct IP address is display back for each server",,all,
All Servers,Verify Server hardware configuration,,,all,
All Servers,Modify Local Server Firewall,"Posit products are often blocked by local server firewalls, most organizations do not rely on local firewalls for server security. If your organization controls access to this server with an external firewall, we recommend disabling the local firewall. If your organization requires the local server firewall to be enabled, please see the list of necessary ports to allow in the list.",[Docs](https://docs.posit.co/networking/),all,
All Servers,Disable SELinux,"SELinux is often enabled by default on Redhat Linux distributions. We recommend that SELinux be disabled, unless you and your organization have specific security requirements that require its use. If your organization requires the use of SE Linux, please use the instructions found here to configure your SELinux profile.","https://support.posit.co/hc/en-us/articles/1500008850802-Using-RStudio-Workbench-RStudio-Server-Pro-on-SELinux
https://support.posit.co/hc/en-us/articles/4579112985751-SELinux-a-quick-primer-and-troubleshooter",rhel,
All Servers,Verify and trust internal Certificate Authority,,,all,
For Package Manager Server(s),Install Package Manager,,[Docs](https://docs.posit.co/rpm/installation/#step-1-download-and-install),packagemanager,
For Package Manager Server(s),Activate Package Manager,,[Docs](https://docs.posit.co/rspm/admin/licensing/),packagemanager,
For Package Manager Server(s),Install R,,[Docs](https://docs.posit.co/resources/install-r/),packagemanager,
For Package Manager Server(s),Create required repositories,,[Docs](https://docs.posit.co/rspm/admin/getting-started/configuration/?h=quick+start#overview),packagemanager,
For Package Manager Server(s),Configure Package Manager SSL,,[Docs](https://docs.posit.co/rspm/admin/security/server/),packagemanager,
For Package Manager Server(s),Restart Package Manager,,,packagemanager,
For Package Manager Server(s),Verify Configuration,Review the Package Manager web interface and verify that it is secured with your configured certificates and that is shows the configured repositories,,packagemanager,
For Connect Server(s),Install R,,[Docs](https://docs.posit.co/resources/install-r/),connect,
For Connect Server(s),Install Python,,[Docs](https://docs.posit.co/resources/install-python/),connect,
For Connect Server(s),Install Quarto,,[Docs](https://docs.posit.co/resources/install-quarto/),connect,
For Connect Server(s),Configure pip.conf to use Package Manager,,https://docs.posit.co/connect/admin/python/package-management/#configuring-pip,connect,
